CURSO_ESCO	GRADO	CURSO	ESPECIALID	ASIGNATURA	NOTA_EXAME	NOTA_EXAME	
2013	E	4	Tb	Tb	4		
2013	E	4	Tb	Tb	4		
2013	E	4	Tb	Tb	8		
2013	E	4	Tp	CCTP			
2013	E	4	Tp	CCTP			
2013	E	4	Tp	CCTP			
2013	E	4	Tp	Tp	8		
2013	E	4	Tp	Tp	4		
2013	E	4	Tp	Tp	NP		
2013	E	4	Tr	Tr	4		
2013	E	4	Tr	Tr	8		
2013	E	4	Tr	Tr	9		
2013	E	4	Tu	CCTB	4		
2013	E	4	Tu	CCTB	4		
2013	E	4	Tu	Tu	4		
2013	E	4	Tu	Tu	7		
2013	E	4	Va	CCVA			
2013	E	4	Va	CCVA			
2013	E	4	Va	CCVA			
2013	E	4	Va	CCVA	7		
2013	E	4	Va	CCVA	7		
2013	E	4	Va	CCVA	7		
2013	E	4	Va	CCVA	7		
2013	E	4	Va	Va	6		
2013	E	4	Va	Va	5		
2013	E	4	Va	Va	3		
2013	E	4	Va	Va	7		
2013	E	4	Va	Va	7		
2013	E	4	Va	Va	8		
2013	E	4	Va	Va	7		
2013	E	4	Vi	CCVN			
2013	E	4	Vi	CCVN			
2013	E	4	Vi	CCVN			
2013	E	4	Vi	CCVN	6		
2013	E	4	Vi	CCVN	6		
2013	E	4	Vi	CCVN	6		
2013	E	4	Vi	CCVN	6		
2013	E	4	Vi	Co	CV		
2013	E	4	Vi	Lm	CV		
2013	E	4	Vi	Vi	4		
2013	E	4	Vi	Vi	4		
2013	E	4	Vi	Vi	6		
2013	E	4	Vi	Vi	6		
2013	E	4	Vi	Vi	5		
2013	E	4	Vi	Vi	4		
2013	E	4	Vi	Vi	5		
2013	E	4	Vc	CCVC			
2013	E	4	Vc	CCVC			
2013	E	4	Vc	CCVC			
2013	E	4	Vc	CCVC	9		
2013	E	4	Vc	CCVC	9		
2013	E	4	Vc	CCVC	9		
2013	E	4	Vc	Vc	4		
2013	E	4	Vc	Vc	4		
2013	E	4	Vc	Vc	4		
2013	E	4	Vc	Vc	9		
2013	E	4	Vc	Vc	9		
2013	E	4	Vc	Vc	9		
2013	P	1	Ca	Ca	9		
2013	P	1	Ca	Lm	7		
2013	P	1	Cl	Cl	8		
2013	P	1	Cl	Cl	7		
2013	P	1	Cb	Cb	7		
2013	P	1	Fg	Fg	9		
2013	P	1	Gi	Cj	6		
